Date,Quarter, APPLE_thous , MICROSOFT_thous 
31/03/2026,Q1-26," $88,172 "," $40,839 "
31/12/2025,Q4-24," $88,173 "," $40,839 "
30/09/2025,Q3-24," $88,178 "," $40,840 "
30/06/2025,Q2-24," $88,174 "," $40,839 "
31/03/2025,Q1-25," $88,161 "," $40,838 "
31/12/2024,Q4-24," $88,178 "," $40,841 "
30/09/2024,Q3-24," $88,197 "," $40,842 "
30/06/2024,Q2-24," $88,160 "," $40,836 "
31/03/2024,Q1-24," $88,110 "," $40,833 "
31/12/2023,Q4-23," $88,245 "," $40,851 "
30/09/2023,Q3-23," $88,272 "," $40,848 "
30/06/2023,Q2-23," $88,013 "," $40,811 "
31/03/2023,Q1-23," $87,910 "," $40,824 "
31/12/2022,Q4-22," $88,785 "," $40,922 "
30/09/2022,Q3-22," $88,382 "," $40,834 "
30/06/2022,Q2-22," $86,976 "," $40,665 "
31/03/2022,Q1-22," $87,497 "," $40,874 "
31/12/2021,Q4-21," $92,286 "," $41,314 "
30/09/2021,Q3-21," $86,768 "," $40,482 "
30/06/2021,Q2-21," $81,352 "," $39,992 "
31/03/2021,Q1-21," $89,584 "," $41,706 "
31/12/2020,Q4-20," $111,439 "," $43,076 "
30/09/2020,Q3-20," $64,698 "," $37,154 "
30/06/2020,Q2-20," $59,685 "," $38,033 "
31/03/2020,Q1-20," $58,313 "," $35,021 "
31/12/2019,Q4-19," $91,819 "," $36,906 "
30/09/2019,Q3-19," $64,040 "," $33,055 "
30/06/2019,Q2-19," $53,809 "," $33,717 "
31/03/2019,Q1-19," $58,015 "," $30,571 "
31/12/2018,Q4-18," $84,310 "," $32,471 "
30/09/2018,Q3-18," $62,900 "," $29,084 "
30/06/2018,Q2-18," $53,265 "," $30,085 "
31/03/2018,Q1-18," $61,137 "," $26,819 "
31/12/2017,Q4-17," $88,293 "," $28,918 "
30/09/2017,Q3-17," $52,579 "," $24,538 "
30/06/2017,Q2-17," $45,408 "," $25,605 "
31/03/2017,Q1-17," $52,896 "," $23,212 "
