Indicator_BS,amount2020,vertical2020,amount2019,vertical2019,amount2018,vertical2018,amount2017,vertical2017,change2020,horizontal2020,change2019,horizontal2019,change2018,horizontal2018
Total assets," $323,888,000,000 ",100.00%," $338,516,000,000 ",100.00%," $365,725,000,000 ",100.00%," $375,319,000,000 ",100.00%," $-14,628,000,000 ",-4%," $-27,209,000,000 ",-7.44%," $-9,594,000,000 ",-2.56%
"cash, cash equivalents & short term investments"," $90,943,000,000 ",28.08%," $100,557,000,000 ",29.71%," $66,301,000,000 ",18.13%," $74,181,000,000 ",19.76%," $-9,614,000,000 ",-10%," $34,256,000,000 ",51.67%," $-7,880,000,000 ",-10.62%
receivables," $37,445,000,000 ",11.56%," $45,804,000,000 ",13.53%," $48,995,000,000 ",13.40%," $35,673,000,000 ",9.50%," $-8,359,000,000 ",-18%," $-3,191,000,000 ",-6.51%," $13,322,000,000 ",37.34%
inventory," $4,061,000,000 ",1.25%," $4,106,000,000 ",1.21%," $3,956,000,000 ",1.08%," $4,855,000,000 ",1.29%," $-45,000,000 ",-1%," $150,000,000 ",3.79%," $-899,000,000 ",-18.52%
other current assets," $11,264,000,000 ",3.48%," $12,352,000,000 ",3.65%," $12,087,000,000 ",3.30%," $13,936,000,000 ",3.71%," $-1,088,000,000 ",-9%," $265,000,000 ",2.19%," $-1,849,000,000 ",-13.27%
total current assets," $143,713,000,000 ",44.37%," $162,819,000,000 ",48.10%," $131,339,000,000 ",35.91%," $128,645,000,000 ",34.28%," $-19,106,000,000 ",-12%," $31,480,000,000 ",23.97%," $2,694,000,000 ",2.09%
net PPE," $36,766,000,000 ",11.35%," $37,378,000,000 ",11.04%," $41,304,000,000 ",11.29%," $33,783,000,000 ",9.00%," $-612,000,000 ",-2%," $-3,926,000,000 ",-9.51%," $7,521,000,000 ",22.26%
goodwill and other intangible assets, $-   ,0.00%, $-   ,0.00%, $-   ,0.00%," $8,015,000,000 ",2.14%, $-   ,, $-   ,," $-8,015,000,000 ",-100.00%
investments and advances," $100,887,000,000 ",31.15%," $105,341,000,000 ",31.12%," $170,799,000,000 ",46.70%," $194,714,000,000 ",51.88%," $-4,454,000,000 ",-4%," $-65,458,000,000 ",-38.32%," $-23,915,000,000 ",-12.28%
other non current assets," $42,522,000,000 ",13.13%," $32,978,000,000 ",9.74%," $22,283,000,000 ",6.09%," $10,162,000,000 ",2.71%," $9,544,000,000 ",29%," $10,695,000,000 ",48.00%," $12,121,000,000 ",119.28%
total non current assets," $180,175,000,000 ",55.63%," $175,697,000,000 ",51.90%," $234,386,000,000 ",64.09%," $246,674,000,000 ",65.72%," $4,478,000,000 ",3%," $-58,689,000,000 ",-25.04%," $-12,288,000,000 ",-4.98%
,,,,,,,,,,,,,,
