date,open,high,low,close,volume
03/01/2017,27.3275,27.4526,27.0821,27.4101,115127460
04/01/2017,27.3393,27.4951,27.3157,27.3795,84472464
05/01/2017,27.3559,27.5787,27.3299,27.5187,88774348
06/01/2017,27.5588,27.8845,27.4857,27.8255,127007600
09/01/2017,27.8349,28.1842,27.8326,28.0803,134247792
10/01/2017,28.0284,28.1724,27.9175,28.1087,97848204
11/01/2017,28.0213,28.3022,27.9883,28.2597,110354372
12/01/2017,28.0579,28.1535,27.8963,28.1417,108344880
13/01/2017,28.1087,28.229,28.0379,28.0921,104447792
17/01/2017,27.9269,28.3753,27.8986,28.3187,137759372
18/01/2017,28.3187,28.4367,28.2503,28.3163,94851844
19/01/2017,28.1771,28.3399,28.17,28.2668,102389164
20/01/2017,28.4249,28.4249,28.2561,28.3187,130391568
23/01/2017,28.3187,28.5098,28.2644,28.3376,88200872
24/01/2017,28.2125,28.3423,28.2007,28.3116,92844152
25/01/2017,28.4178,28.8143,28.3848,28.7624,130346692
26/01/2017,28.7128,28.8945,28.6963,28.7765,105350304
27/01/2017,28.8237,28.8733,28.6963,28.7789,82251776
30/01/2017,28.5382,28.7034,28.4744,28.7034,121510012
31/01/2017,28.5901,28.6467,28.465,28.6373,196803972
01/02/2017,29.9777,30.7942,29.973,30.3836,447940160
02/02/2017,30.2007,30.5346,30.1547,30.3317,134841644
03/02/2017,30.2798,30.4874,30.2444,30.4615,98029204
06/02/2017,30.4733,30.7966,30.419,30.747,107383696
07/02/2017,30.806,31.1718,30.7848,31.0396,152735364
08/02/2017,30.9972,31.2025,30.9665,31.16,92016288
09/02/2017,31.2017,31.3901,31.0761,31.3842,113399436
10/02/2017,31.3937,31.5074,31.2965,31.3131,80261832
13/02/2017,31.5406,31.716,31.4624,31.5904,92141684
14/02/2017,31.633,32.017,31.5809,32.0004,132904892
15/02/2017,32.1189,32.2967,31.9056,32.1165,142492400
16/02/2017,32.1545,32.209,31.9577,32.0774,90338220
17/02/2017,32.0194,32.1924,32.0194,32.1663,88792788
21/02/2017,32.2872,32.4104,32.2279,32.3986,98028624
22/02/2017,32.3346,32.4981,32.2587,32.4957,83347728
23/02/2017,32.5597,32.5834,32.3038,32.3583,83152744
24/02/2017,32.2113,32.3891,32.062,32.3891,87106340
27/02/2017,32.5029,32.5728,32.299,32.4531,81029704
28/02/2017,32.4886,32.5728,32.3986,32.4673,93931440
01/03/2017,32.6806,33.2162,32.6107,33.1309,145658340
02/03/2017,33.1807,33.2467,32.8868,32.9342,104843936
03/03/2017,32.8915,33.1404,32.8465,33.1285,86284484
06/03/2017,33.0302,33.1262,32.8479,33.0243,87000176
07/03/2017,32.9579,33.1759,32.8939,33.0669,69785188
08/03/2017,32.9318,33.1333,32.901,32.9437,74828944
09/03/2017,32.8821,32.8939,32.4815,32.8678,88623616
10/03/2017,33.0029,33.0283,32.8584,32.9769,78451204
13/03/2017,32.9081,33.0456,32.901,32.9911,69686868
14/03/2017,33.0148,33.0977,32.9058,32.9413,61236260
15/03/2017,33.0409,33.3585,32.9496,33.2897,102767096
16/03/2017,33.3513,33.4224,33.2423,33.3442,76927992
17/03/2017,33.4177,33.4177,33.1546,33.1783,175539808
20/03/2017,33.2755,33.5362,33.2352,33.5267,86168152
21/03/2017,33.6808,33.8443,33.1167,33.1428,158119648
22/03/2017,33.144,33.5599,33.1238,33.5172,103440660
23/03/2017,33.4793,33.5562,33.3253,33.3987,81385204
24/03/2017,33.5362,33.5931,33.2636,33.3324,89582252
