Indicator_BS,amount2020,vertical2020,amount2019,vertical2019,amount2018,vertical2018,amount2017,vertical2017,change2020,horizontal2020,change2019,horizontal2019,change2018,horizontal2018
Total assets,3.01311E+11,1,2.86556E+11,1,2.58848E+11,1,2.41086E+11,1,14755000000,0.051490808,27708000000,0.107043516,17762000000,0.073674954
"cash, cash equivalents & short term investments",1.36527E+11,45.31%,1.33819E+11,46.70%,1.33768E+11,51.68%,1.32981E+11,55.16%,2708000000,2%,51000000,0.04%,787000000,0.59%
receivables,32011000000,10.62%,29524000000,10.30%,26481000000,10.23%,19792000000,8.21%,2487000000,8%,3043000000,11.49%,6689000000,33.80%
inventory,1895000000,0.63%,2063000000,0.72%,2662000000,1.03%,2181000000,0.90%,-168000000,-8%,-599000000,-22.50%,481000000,22.05%
other current assets,11482000000,3.81%,10146000000,3.54%,6751000000,2.61%,4897000000,2.03%,1336000000,13%,3395000000,50.29%,1854000000,37.86%
total current assets,1.81915E+11,60.37%,1.75552E+11,61.26%,1.69662E+11,65.55%,1.59851E+11,66.30%,6363000000,4%,5890000000,3.47%,9811000000,6.14%
net PPE,52904000000,17.56%,43856000000,15.30%,36146000000,13.96%,23734000000,9.84%,9048000000,21%,7710000000,21.33%,12412000000,52.30%
goodwill and other intangible assets,50389000000,16.72%,49776000000,17.37%,43736000000,16.90%,45228000000,18.76%,613000000,1%,6040000000,13.81%,-1492000000,-3.30%
investments and advances,2965000000,0.98%,2649000000,0.92%,1862000000,0.72%,6023000000,2.50%,316000000,12%,787000000,42.27%,-4161000000,-69.09%
other non current assets,13138000000,4.36%,14723000000,5.14%,7442000000,2.88%,6250000000,2.59%,-1585000000,-11%,7281000000,97.84%,1192000000,19.07%
total non current assets,1.19396E+11,39.63%,1.11004E+11,38.74%,89186000000,34.45%,81235000000,33.70%,8392000000,8%,21818000000,24.46%,7951000000,9.79%
,,,,,,,,,,,,,,
total liabilities ,1.83007E+11,60.74%,1.84226E+11,64.29%,1.7613E+11,68.04%,1.68692E+11,69.97%,-1219000000,-1%,8096000000,4.60%,7438000000,4.41%
payables,14660000000,4.87%,15047000000,5.25%,10738000000,4.15%,8205000000,3.40%,-387000000,-3%,4309000000,40.13%,2533000000,30.87%
pension and other post retirement expenses,7874000000,2.61%,6830000000,2.38%,6103000000,2.36%,5819000000,2.41%,1044000000,15%,727000000,11.91%,284000000,4.88%
current debt,3749000000,1.24%,5516000000,1.92%,3998000000,1.54%,10121000000,4.20%,-1767000000,-32%,1518000000,37.97%,-6123000000,-60.50%
current deferred liabilities,36000000000,11.95%,32676000000,11.40%,28905000000,11.17%,34102000000,14.15%,3324000000,10%,3771000000,13.05%,-5197000000,-15.24%
other current liabilities,10027000000,3.33%,9351000000,3.26%,8744000000,3.38%,6280000000,2.60%,676000000,7%,607000000,6.94%,2464000000,39.24%
total current liabilities,72310000000,24.00%,69420000000,24.23%,58488000000,22.60%,64527000000,26.77%,2890000000,4%,10932000000,18.69%,-6039000000,-9.36%
long term debt and capital liabilities,67249000000,22.32%,72850000000,25.42%,77810000000,30.06%,"£76,073,000,000",31.55%,-5601000000,-8%,-4960000000,-6.37%,1737000000,2.28%
non current deferred liabilities,3384000000,1.12%,4763000000,1.66%,4356000000,1.68%,"£10,908,000,000",4.52%,-1379000000,-29%,407000000,9.34%,-6552000000,-60.07%
trade and other payables ,29432000000,9.77%,29612000000,10.33%,30265000000,11.69%,0,0.00%,-180000000,-1%,-653000000,-2.16%,30265000000,
other non current liabilities,10632000000,3.53%,7581000000,2.65%,5211000000,2.01%,"£17,184,000,000",7.13%,3051000000,40%,2370000000,45.48%,-11973000000,-69.68%
total non current liabilities,1.10697E+11,36.74%,1.14806E+11,40.06%,1.17642E+11,45.45%,"£104,165,000,000",43.21%,-4109000000,-4%,-2836000000,-2.41%,13477000000,12.94%
,,,,,,,,,,,,,,
shareholders' equity,1.18304E+11,0.39263087,1.0233E+11,0.357102975,82718000000,0.31956206,72394000000,0.300282887,15974000000,0.156102805,19612000000,0.237094707,10324000000,0.142608503
