Indicator_BS,amount2020,vertical2020,amount2019,vertical2019,amount2018,vertical2018,amount2017,vertical2017,change2020,horizontal2020,change2019,horizontal2019,change2018,horizontal2018
Total assets," $301,311,000,000 ",100.00%," $286,556,000,000 ",100.00%," $258,848,000,000 ",100.00%," $241,086,000,000 ",100.00%," $14,755,000,000 ",5%," $27,708,000,000 ",10.70%," $17,762,000,000 ",7.37%
"cash, cash equivalents & short term investments"," $136,527,000,000 ",45.31%," $133,819,000,000 ",46.70%," $133,768,000,000 ",51.68%," $132,981,000,000 ",55.16%," $2,708,000,000 ",2%," $51,000,000 ",0.04%," $787,000,000 ",0.59%
receivables," $32,011,000,000 ",10.62%," $29,524,000,000 ",10.30%," $26,481,000,000 ",10.23%," $19,792,000,000 ",8.21%," $2,487,000,000 ",8%," $3,043,000,000 ",11.49%," $6,689,000,000 ",33.80%
inventory," $1,895,000,000 ",0.63%," $2,063,000,000 ",0.72%," $2,662,000,000 ",1.03%," $2,181,000,000 ",0.90%," $-168,000,000 ",-8%," $-599,000,000 ",-22.50%," $481,000,000 ",22.05%
other current assets," $11,482,000,000 ",3.81%," $10,146,000,000 ",3.54%," $6,751,000,000 ",2.61%," $4,897,000,000 ",2.03%," $1,336,000,000 ",13%," $3,395,000,000 ",50.29%," $1,854,000,000 ",37.86%
total current assets," $181,915,000,000 ",60.37%," $175,552,000,000 ",61.26%," $169,662,000,000 ",65.55%," $159,851,000,000 ",66.30%," $6,363,000,000 ",4%," $5,890,000,000 ",3.47%," $9,811,000,000 ",6.14%
net PPE," $52,904,000,000 ",17.56%," $43,856,000,000 ",15.30%," $36,146,000,000 ",13.96%," $23,734,000,000 ",9.84%," $9,048,000,000 ",21%," $7,710,000,000 ",21.33%," $12,412,000,000 ",52.30%
goodwill and other intangible assets," $50,389,000,000 ",16.72%," $49,776,000,000 ",17.37%," $43,736,000,000 ",16.90%," $45,228,000,000 ",18.76%," $613,000,000 ",1%," $6,040,000,000 ",13.81%," $-1,492,000,000 ",-3.30%
investments and advances," $2,965,000,000 ",0.98%," $2,649,000,000 ",0.92%," $1,862,000,000 ",0.72%," $6,023,000,000 ",2.50%," $316,000,000 ",12%," $787,000,000 ",42.27%," $-4,161,000,000 ",-69.09%
other non current assets," $13,138,000,000 ",4.36%," $14,723,000,000 ",5.14%," $7,442,000,000 ",2.88%," $6,250,000,000 ",2.59%," $-1,585,000,000 ",-11%," $7,281,000,000 ",97.84%," $1,192,000,000 ",19.07%
total non current assets," $119,396,000,000 ",39.63%," $111,004,000,000 ",38.74%," $89,186,000,000 ",34.45%," $81,235,000,000 ",33.70%," $8,392,000,000 ",8%," $21,818,000,000 ",24.46%," $7,951,000,000 ",9.79%
,,,,,,,,,,,,,,
total liabilities ," $183,007,000,000 ",60.74%," $184,226,000,000 ",64.29%," $176,130,000,000 ",68.04%," $168,692,000,000 ",69.97%," $-1,219,000,000 ",-1%," $8,096,000,000 ",4.60%," $7,438,000,000 ",4.41%
payables," $14,660,000,000 ",4.87%," $15,047,000,000 ",5.25%," $10,738,000,000 ",4.15%," $8,205,000,000 ",3.40%," $-387,000,000 ",-3%," $4,309,000,000 ",40.13%," $2,533,000,000 ",30.87%
pension and other post retirement expenses," $7,874,000,000 ",2.61%," $6,830,000,000 ",2.38%," $6,103,000,000 ",2.36%," $5,819,000,000 ",2.41%," $1,044,000,000 ",15%," $727,000,000 ",11.91%," $284,000,000 ",4.88%
current debt," $3,749,000,000 ",1.24%," $5,516,000,000 ",1.92%," $3,998,000,000 ",1.54%," $10,121,000,000 ",4.20%," $-1,767,000,000 ",-32%," $1,518,000,000 ",37.97%," $-6,123,000,000 ",-60.50%
current deferred liabilities," $36,000,000,000 ",11.95%," $32,676,000,000 ",11.40%," $28,905,000,000 ",11.17%," $34,102,000,000 ",14.15%," $3,324,000,000 ",10%," $3,771,000,000 ",13.05%," $-5,197,000,000 ",-15.24%
