date,open,high,low,close,volume
03/01/2017,58.8006,58.8475,58.1779,58.604,20694101
04/01/2017,58.5103,58.7632,58.1732,58.3418,21339969
05/01/2017,58.2388,58.6789,58.0889,58.3418,24875968
06/01/2017,58.3418,59.1378,58.0983,58.8475,19922919
09/01/2017,58.7725,59.0722,58.5665,58.6602,20382730
10/01/2017,58.7444,59.0628,58.323,58.6414,18593004
11/01/2017,58.6321,59.2127,58.4635,59.1752,21517335
12/01/2017,59.0535,59.3719,58.014,58.6321,20968223
13/01/2017,58.6414,58.8709,58.3886,58.7164,19422310
17/01/2017,58.6976,58.7164,58.0889,58.5572,20663983
18/01/2017,58.6883,58.7164,58.1732,58.5291,19670102
19/01/2017,58.2856,58.9786,58.2434,58.3418,18451655
20/01/2017,58.6883,58.8287,58.4073,58.7538,30213462
23/01/2017,58.7164,59.1058,58.5946,58.9598,23097581
24/01/2017,59.1846,59.6856,58.9411,59.4843,24672940
25/01/2017,59.8869,60.0274,59.4187,59.6341,24654933
26/01/2017,60.0461,60.4348,59.5123,60.1866,43554645
27/01/2017,61.2354,61.7224,60.7672,61.6007,44817972
30/01/2017,61.5164,61.61,60.6829,60.992,31651445
31/01/2017,60.7391,61.0107,60.1772,60.5425,25270549
01/02/2017,60.2662,60.5144,59.4374,59.5404,39671528
02/02/2017,59.2314,59.3812,58.7632,59.1565,45827013
03/02/2017,59.4655,59.6528,59.0628,59.6341,30301759
06/02/2017,59.4655,59.606,59.1284,59.5966,19796360
07/02/2017,59.6903,59.7277,59.2127,59.4,20277226
08/02/2017,59.5311,59.7558,59.2033,59.3157,18096358
09/02/2017,59.4843,60.3411,59.297,59.9899,22644443
10/02/2017,60.1679,60.2147,59.9103,59.9338,18170729
13/02/2017,60.1585,60.7391,60.0555,60.608,22920101
14/02/2017,60.682,60.9741,60.3146,60.8328,23108426
15/02/2017,60.7668,60.8328,60.4418,60.7951,17005157
16/02/2017,60.9929,61.464,60.7103,60.7857,20546345
17/02/2017,60.7386,60.9458,60.5784,60.8799,21248818
21/02/2017,60.8704,61.1908,60.7197,60.7574,20655869
22/02/2017,60.6067,60.6632,60.3429,60.6349,19292651
23/02/2017,60.6914,60.9821,60.4795,60.8799,20273128
24/02/2017,60.7951,61.0495,60.4229,60.8799,21796800
27/02/2017,60.8045,60.8045,60.3382,60.5124,15871507
28/02/2017,60.3711,60.4842,60.0696,60.2769,23239825
01/03/2017,60.4182,61.2285,60.3163,61.1813,26937459
02/03/2017,60.9458,61.0023,60.1827,60.3052,24539597
03/03/2017,60.2863,60.5595,59.9377,60.5313,18139405
06/03/2017,60.2675,60.8233,60.1168,60.5501,18750255
07/03/2017,60.4748,61.0259,60.4748,60.6726,18520987
08/03/2017,60.5407,61.318,60.5313,61.2285,21510907
09/03/2017,61.4169,61.4263,60.748,60.9835,19846832
10/03/2017,61.3415,61.4828,61.0023,61.1719,19538245
13/03/2017,61.2473,61.4216,60.8328,60.9647,20100035
14/03/2017,60.7951,60.8139,60.4371,60.682,14280202
15/03/2017,60.8139,61.1625,60.5313,61.0023,24833810
16/03/2017,61.0023,61.0118,60.5784,60.8987,20674296
17/03/2017,61.1531,61.464,60.9364,61.1154,49219686
20/03/2017,61.1531,61.4027,60.9741,61.1719,14598083
21/03/2017,61.4169,61.7089,60.4182,60.4936,26640480
22/03/2017,60.4088,61.3698,60.4088,61.2661,20680015
23/03/2017,61.1813,61.4593,61.0165,61.1154,19269203
24/03/2017,61.577,61.6618,61.0118,61.219,22617105
